iter	Passed	Remaining
0	138	138413
1	140	69895
2	141	47041
3	142	35573
4	144	28699
5	145	24102
6	147	20983
7	149	18520
8	150	16598
9	152	15083
10	153	13818
11	154	12758
12	156	11905
13	158	11128
14	159	10460
15	160	9877
16	162	9397
17	163	8930
18	165	8520
19	167	8221
20	169	7885
21	170	7576
22	171	7293
23	172	7035
24	174	6789
25	175	6562
26	176	6358
27	177	6166
28	179	5999
29	180	5831
30	181	5674
31	182	5528
32	184	5395
33	185	5265
34	186	5141
35	187	5024
36	188	4915
37	190	4816
38	191	4716
39	192	4621
40	193	4530
41	194	4447
42	196	4365
43	197	4285
44	198	4209
45	199	4137
46	200	4069
47	201	4003
48	203	3941
49	204	3880
50	205	3824
51	206	3769
52	207	3714
53	208	3660
54	210	3610
55	211	3562
56	213	3524
57	214	3480
58	215	3436
59	216	3397
60	218	3356
61	219	3315
62	220	3275
63	221	3239
64	222	3205
65	224	3170
66	225	3135
67	226	3103
68	227	3073
69	228	3041
70	230	3009
71	231	2980
72	232	2955
73	233	2927
74	235	2900
75	236	2872
76	237	2845
77	238	2820
78	239	2795
79	240	2770
80	241	2744
81	243	2721
82	243	2694
83	245	2672
84	246	2651
85	247	2630
86	248	2612
87	250	2592
88	251	2572
89	252	2552
90	253	2533
91	254	2516
92	256	2496
93	257	2478
94	258	2460
95	259	2445
96	260	2428
97	262	2411
98	263	2395
99	264	2379
100	265	2364
101	266	2349
102	267	2333
103	269	2319
104	270	2307
105	271	2293
106	273	2278
107	274	2264
108	275	2250
109	276	2239
110	278	2228
111	279	2215
112	280	2202
113	282	2192
114	283	2180
115	284	2167
116	285	2153
117	286	2143
118	287	2130
119	288	2117
120	289	2105
121	290	2091
122	291	2081
123	293	2069
124	294	2058
125	295	2047
126	296	2034
127	297	2024
128	298	2014
129	299	2003
130	300	1992
131	301	1982
132	302	1973
133	303	1964
134	305	1954
135	306	1944
136	307	1934
137	308	1925
138	309	1915
139	310	1906
140	311	1897
141	312	1885
142	313	1877
143	314	1868
144	315	1859
145	316	1850
146	317	1842
147	318	1833
148	320	1827
149	321	1819
150	322	1811
151	323	1804
152	324	1798
153	325	1790
154	326	1782
155	328	1774
156	329	1766
157	330	1761
158	331	1755
159	333	1748
160	333	1739
161	335	1734
162	336	1726
163	337	1721
164	339	1715
165	340	1709
166	341	1702
167	342	1696
168	343	1689
169	344	1683
170	346	1677
171	347	1671
172	348	1665
173	349	1659
174	350	1652
175	352	1648
176	353	1643
177	354	1637
178	355	1630
179	356	1625
180	358	1620
181	359	1617
182	361	1612
183	362	1607
184	363	1602
185	364	1596
186	365	1591
187	367	1585
188	368	1580
189	369	1575
190	370	1569
191	371	1564
192	373	1560
193	374	1554
194	375	1550
195	376	1545
196	377	1540
197	379	1535
198	380	1530
199	381	1526
200	382	1520
201	384	1517
202	385	1513
203	387	1510
204	388	1505
